Previous Wall_Arr[0][0] Position ; X = 0 ; Y = 0 ;       NEW ;  Wall_Arr[0][0] Position ; X = -45 ; Y = -1215
Previous Wall_Arr[2][9] Position ; X = 32 ; Y = 144 ;       NEW ;  Wall_Arr[2][9] Position ; X = 135 ; Y = -405
Previous Wall_Arr[2][10] Position ; X = 32 ; Y = 160 ;       NEW ;  Wall_Arr[2][10] Position ; X = 135 ; Y = -315
Previous Wall_Arr[2][11] Position ; X = 32 ; Y = 176 ;       NEW ;  Wall_Arr[2][11] Position ; X = 135 ; Y = -225
Previous Wall_Arr[2][12] Position ; X = 32 ; Y = 192 ;       NEW ;  Wall_Arr[2][12] Position ; X = 135 ; Y = -135
Previous Wall_Arr[2][13] Position ; X = 32 ; Y = 208 ;       NEW ;  Wall_Arr[2][13] Position ; X = 135 ; Y = -45
Previous Wall_Arr[2][14] Position ; X = 32 ; Y = 224 ;       NEW ;  Wall_Arr[2][14] Position ; X = 135 ; Y = 45
Previous Wall_Arr[2][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[2][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[2][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[2][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[2][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[2][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[2][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[2][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[2][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[2][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[2][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[2][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[2][21] Position ; X = 32 ; Y = 336 ;       NEW ;  Wall_Arr[2][21] Position ; X = 135 ; Y = 675
Previous Wall_Arr[3][0] Position ; X = 48 ; Y = 0 ;       NEW ;  Wall_Arr[3][0] Position ; X = 225 ; Y = -1215
Previous Wall_Arr[3][1] Position ; X = 48 ; Y = 16 ;       NEW ;  Wall_Arr[3][1] Position ; X = 225 ; Y = -1125
Previous Wall_Arr[3][2] Position ; X = 48 ; Y = 32 ;       NEW ;  Wall_Arr[3][2] Position ; X = 225 ; Y = -1035
Previous Wall_Arr[3][3] Position ; X = 48 ; Y = 48 ;       NEW ;  Wall_Arr[3][3] Position ; X = 225 ; Y = -945
Previous Wall_Arr[3][4] Position ; X = 48 ; Y = 64 ;       NEW ;  Wall_Arr[3][4] Position ; X = 225 ; Y = -855
Previous Wall_Arr[3][5] Position ; X = 48 ; Y = 80 ;       NEW ;  Wall_Arr[3][5] Position ; X = 225 ; Y = -765
Previous Wall_Arr[3][6] Position ; X = 48 ; Y = 96 ;       NEW ;  Wall_Arr[3][6] Position ; X = 225 ; Y = -675
Previous Wall_Arr[3][7] Position ; X = 48 ; Y = 112 ;       NEW ;  Wall_Arr[3][7] Position ; X = 225 ; Y = -585
Previous Wall_Arr[3][8] Position ; X = 48 ; Y = 128 ;       NEW ;  Wall_Arr[3][8] Position ; X = 225 ; Y = -495
Previous Wall_Arr[3][9] Position ; X = 48 ; Y = 144 ;       NEW ;  Wall_Arr[3][9] Position ; X = 225 ; Y = -405
Previous Wall_Arr[3][10] Position ; X = 48 ; Y = 160 ;       NEW ;  Wall_Arr[3][10] Position ; X = 225 ; Y = -315
Previous Wall_Arr[3][11] Position ; X = 48 ; Y = 176 ;       NEW ;  Wall_Arr[3][11] Position ; X = 225 ; Y = -225
Previous Wall_Arr[3][12] Position ; X = 48 ; Y = 192 ;       NEW ;  Wall_Arr[3][12] Position ; X = 225 ; Y = -135
Previous Wall_Arr[3][13] Position ; X = 48 ; Y = 208 ;       NEW ;  Wall_Arr[3][13] Position ; X = 225 ; Y = -45
Previous Wall_Arr[3][14] Position ; X = 48 ; Y = 224 ;       NEW ;  Wall_Arr[3][14] Position ; X = 225 ; Y = 45
Previous Wall_Arr[3][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[3][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[3][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[3][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[3][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[3][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[3][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[3][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[3][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[3][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[3][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[3][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[3][21] Position ; X = 48 ; Y = 336 ;       NEW ;  Wall_Arr[3][21] Position ; X = 225 ; Y = 675
Previous Wall_Arr[4][0] Position ; X = 64 ; Y = 0 ;       NEW ;  Wall_Arr[4][0] Position ; X = 315 ; Y = -1215
Previous Wall_Arr[4][1] Position ; X = 64 ; Y = 16 ;       NEW ;  Wall_Arr[4][1] Position ; X = 315 ; Y = -1125
Previous Wall_Arr[4][2] Position ; X = 64 ; Y = 32 ;       NEW ;  Wall_Arr[4][2] Position ; X = 315 ; Y = -1035
Previous Wall_Arr[4][3] Position ; X = 64 ; Y = 48 ;       NEW ;  Wall_Arr[4][3] Position ; X = 315 ; Y = -945
Previous Wall_Arr[4][4] Position ; X = 64 ; Y = 64 ;       NEW ;  Wall_Arr[4][4] Position ; X = 315 ; Y = -855
Previous Wall_Arr[4][5] Position ; X = 64 ; Y = 80 ;       NEW ;  Wall_Arr[4][5] Position ; X = 315 ; Y = -765
Previous Wall_Arr[4][6] Position ; X = 64 ; Y = 96 ;       NEW ;  Wall_Arr[4][6] Position ; X = 315 ; Y = -675
Previous Wall_Arr[4][7] Position ; X = 64 ; Y = 112 ;       NEW ;  Wall_Arr[4][7] Position ; X = 315 ; Y = -585
Previous Wall_Arr[4][8] Position ; X = 64 ; Y = 128 ;       NEW ;  Wall_Arr[4][8] Position ; X = 315 ; Y = -495
Previous Wall_Arr[4][9] Position ; X = 64 ; Y = 144 ;       NEW ;  Wall_Arr[4][9] Position ; X = 315 ; Y = -405
Previous Wall_Arr[4][10] Position ; X = 64 ; Y = 160 ;       NEW ;  Wall_Arr[4][10] Position ; X = 315 ; Y = -315
Previous Wall_Arr[4][11] Position ; X = 64 ; Y = 176 ;       NEW ;  Wall_Arr[4][11] Position ; X = 315 ; Y = -225
Previous Wall_Arr[4][12] Position ; X = 64 ; Y = 192 ;       NEW ;  Wall_Arr[4][12] Position ; X = 315 ; Y = -135
Previous Wall_Arr[4][13] Position ; X = 64 ; Y = 208 ;       NEW ;  Wall_Arr[4][13] Position ; X = 315 ; Y = -45
Previous Wall_Arr[4][14] Position ; X = 64 ; Y = 224 ;       NEW ;  Wall_Arr[4][14] Position ; X = 315 ; Y = 45
Previous Wall_Arr[4][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[4][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[4][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[4][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[4][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[4][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[4][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[4][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[4][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[4][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[4][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[4][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[4][21] Position ; X = 64 ; Y = 336 ;       NEW ;  Wall_Arr[4][21] Position ; X = 315 ; Y = 675
Previous Wall_Arr[5][0] Position ; X = 80 ; Y = 0 ;       NEW ;  Wall_Arr[5][0] Position ; X = 405 ; Y = -1215
Previous Wall_Arr[5][1] Position ; X = 80 ; Y = 16 ;       NEW ;  Wall_Arr[5][1] Position ; X = 405 ; Y = -1125
Previous Wall_Arr[5][2] Position ; X = 80 ; Y = 32 ;       NEW ;  Wall_Arr[5][2] Position ; X = 405 ; Y = -1035
Previous Wall_Arr[5][3] Position ; X = 80 ; Y = 48 ;       NEW ;  Wall_Arr[5][3] Position ; X = 405 ; Y = -945
Previous Wall_Arr[5][4] Position ; X = 80 ; Y = 64 ;       NEW ;  Wall_Arr[5][4] Position ; X = 405 ; Y = -855
Previous Wall_Arr[5][5] Position ; X = 80 ; Y = 80 ;       NEW ;  Wall_Arr[5][5] Position ; X = 405 ; Y = -765
Previous Wall_Arr[5][6] Position ; X = 80 ; Y = 96 ;       NEW ;  Wall_Arr[5][6] Position ; X = 405 ; Y = -675
Previous Wall_Arr[5][7] Position ; X = 80 ; Y = 112 ;       NEW ;  Wall_Arr[5][7] Position ; X = 405 ; Y = -585
Previous Wall_Arr[5][8] Position ; X = 80 ; Y = 128 ;       NEW ;  Wall_Arr[5][8] Position ; X = 405 ; Y = -495
Previous Wall_Arr[5][9] Position ; X = 80 ; Y = 144 ;       NEW ;  Wall_Arr[5][9] Position ; X = 405 ; Y = -405
Previous Wall_Arr[5][10] Position ; X = 80 ; Y = 160 ;       NEW ;  Wall_Arr[5][10] Position ; X = 405 ; Y = -315
Previous Wall_Arr[5][11] Position ; X = 80 ; Y = 176 ;       NEW ;  Wall_Arr[5][11] Position ; X = 405 ; Y = -225
Previous Wall_Arr[5][12] Position ; X = 80 ; Y = 192 ;       NEW ;  Wall_Arr[5][12] Position ; X = 405 ; Y = -135
Previous Wall_Arr[5][13] Position ; X = 80 ; Y = 208 ;       NEW ;  Wall_Arr[5][13] Position ; X = 405 ; Y = -45
Previous Wall_Arr[5][14] Position ; X = 80 ; Y = 224 ;       NEW ;  Wall_Arr[5][14] Position ; X = 405 ; Y = 45
Previous Wall_Arr[5][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[5][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[5][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[5][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[5][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[5][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[5][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[5][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[5][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[5][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[5][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[5][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[5][21] Position ; X = 80 ; Y = 336 ;       NEW ;  Wall_Arr[5][21] Position ; X = 405 ; Y = 675
Previous Wall_Arr[6][0] Position ; X = 96 ; Y = 0 ;       NEW ;  Wall_Arr[6][0] Position ; X = 495 ; Y = -1215
Previous Wall_Arr[6][1] Position ; X = 96 ; Y = 16 ;       NEW ;  Wall_Arr[6][1] Position ; X = 495 ; Y = -1125
Previous Wall_Arr[6][2] Position ; X = 96 ; Y = 32 ;       NEW ;  Wall_Arr[6][2] Position ; X = 495 ; Y = -1035
Previous Wall_Arr[6][3] Position ; X = 96 ; Y = 48 ;       NEW ;  Wall_Arr[6][3] Position ; X = 495 ; Y = -945
Previous Wall_Arr[6][4] Position ; X = 96 ; Y = 64 ;       NEW ;  Wall_Arr[6][4] Position ; X = 495 ; Y = -855
Previous Wall_Arr[6][5] Position ; X = 96 ; Y = 80 ;       NEW ;  Wall_Arr[6][5] Position ; X = 495 ; Y = -765
Previous Wall_Arr[6][6] Position ; X = 96 ; Y = 96 ;       NEW ;  Wall_Arr[6][6] Position ; X = 495 ; Y = -675
Previous Wall_Arr[6][7] Position ; X = 96 ; Y = 112 ;       NEW ;  Wall_Arr[6][7] Position ; X = 495 ; Y = -585
Previous Wall_Arr[6][8] Position ; X = 96 ; Y = 128 ;       NEW ;  Wall_Arr[6][8] Position ; X = 495 ; Y = -495
Previous Wall_Arr[6][9] Position ; X = 96 ; Y = 144 ;       NEW ;  Wall_Arr[6][9] Position ; X = 495 ; Y = -405
Previous Wall_Arr[6][10] Position ; X = 96 ; Y = 160 ;       NEW ;  Wall_Arr[6][10] Position ; X = 495 ; Y = -315
Previous Wall_Arr[6][11] Position ; X = 96 ; Y = 176 ;       NEW ;  Wall_Arr[6][11] Position ; X = 495 ; Y = -225
Previous Wall_Arr[6][12] Position ; X = 96 ; Y = 192 ;       NEW ;  Wall_Arr[6][12] Position ; X = 495 ; Y = -135
Previous Wall_Arr[6][13] Position ; X = 96 ; Y = 208 ;       NEW ;  Wall_Arr[6][13] Position ; X = 495 ; Y = -45
Previous Wall_Arr[6][14] Position ; X = 96 ; Y = 224 ;       NEW ;  Wall_Arr[6][14] Position ; X = 495 ; Y = 45
Previous Wall_Arr[6][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[6][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[6][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[6][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[6][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[6][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[6][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[6][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[6][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[6][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[6][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[6][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[6][21] Position ; X = 96 ; Y = 336 ;       NEW ;  Wall_Arr[6][21] Position ; X = 495 ; Y = 675
Previous Wall_Arr[7][0] Position ; X = 112 ; Y = 0 ;       NEW ;  Wall_Arr[7][0] Position ; X = 585 ; Y = -1215
Previous Wall_Arr[7][1] Position ; X = 112 ; Y = 16 ;       NEW ;  Wall_Arr[7][1] Position ; X = 585 ; Y = -1125
Previous Wall_Arr[7][2] Position ; X = 112 ; Y = 32 ;       NEW ;  Wall_Arr[7][2] Position ; X = 585 ; Y = -1035
Previous Wall_Arr[7][3] Position ; X = 112 ; Y = 48 ;       NEW ;  Wall_Arr[7][3] Position ; X = 585 ; Y = -945
Previous Wall_Arr[7][4] Position ; X = 112 ; Y = 64 ;       NEW ;  Wall_Arr[7][4] Position ; X = 585 ; Y = -855
Previous Wall_Arr[7][5] Position ; X = 112 ; Y = 80 ;       NEW ;  Wall_Arr[7][5] Position ; X = 585 ; Y = -765
Previous Wall_Arr[7][6] Position ; X = 112 ; Y = 96 ;       NEW ;  Wall_Arr[7][6] Position ; X = 585 ; Y = -675
Previous Wall_Arr[7][7] Position ; X = 112 ; Y = 112 ;       NEW ;  Wall_Arr[7][7] Position ; X = 585 ; Y = -585
Previous Wall_Arr[7][8] Position ; X = 112 ; Y = 128 ;       NEW ;  Wall_Arr[7][8] Position ; X = 585 ; Y = -495
Previous Wall_Arr[7][9] Position ; X = 112 ; Y = 144 ;       NEW ;  Wall_Arr[7][9] Position ; X = 585 ; Y = -405
Previous Wall_Arr[7][10] Position ; X = 112 ; Y = 160 ;       NEW ;  Wall_Arr[7][10] Position ; X = 585 ; Y = -315
Previous Wall_Arr[7][11] Position ; X = 112 ; Y = 176 ;       NEW ;  Wall_Arr[7][11] Position ; X = 585 ; Y = -225
Previous Wall_Arr[7][12] Position ; X = 112 ; Y = 192 ;       NEW ;  Wall_Arr[7][12] Position ; X = 585 ; Y = -135
Previous Wall_Arr[7][13] Position ; X = 112 ; Y = 208 ;       NEW ;  Wall_Arr[7][13] Position ; X = 585 ; Y = -45
Previous Wall_Arr[7][14] Position ; X = 112 ; Y = 224 ;       NEW ;  Wall_Arr[7][14] Position ; X = 585 ; Y = 45
Previous Wall_Arr[7][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[7][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[7][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[7][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[7][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[7][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[7][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[7][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[7][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[7][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[7][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[7][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[7][21] Position ; X = 112 ; Y = 336 ;       NEW ;  Wall_Arr[7][21] Position ; X = 585 ; Y = 675
Previous Wall_Arr[8][0] Position ; X = 128 ; Y = 0 ;       NEW ;  Wall_Arr[8][0] Position ; X = 675 ; Y = -1215
Previous Wall_Arr[8][1] Position ; X = 128 ; Y = 16 ;       NEW ;  Wall_Arr[8][1] Position ; X = 675 ; Y = -1125
Previous Wall_Arr[8][2] Position ; X = 128 ; Y = 32 ;       NEW ;  Wall_Arr[8][2] Position ; X = 675 ; Y = -1035
Previous Wall_Arr[8][3] Position ; X = 128 ; Y = 48 ;       NEW ;  Wall_Arr[8][3] Position ; X = 675 ; Y = -945
Previous Wall_Arr[8][4] Position ; X = 128 ; Y = 64 ;       NEW ;  Wall_Arr[8][4] Position ; X = 675 ; Y = -855
Previous Wall_Arr[8][5] Position ; X = 128 ; Y = 80 ;       NEW ;  Wall_Arr[8][5] Position ; X = 675 ; Y = -765
Previous Wall_Arr[8][6] Position ; X = 128 ; Y = 96 ;       NEW ;  Wall_Arr[8][6] Position ; X = 675 ; Y = -675
Previous Wall_Arr[8][7] Position ; X = 128 ; Y = 112 ;       NEW ;  Wall_Arr[8][7] Position ; X = 675 ; Y = -585
Previous Wall_Arr[8][8] Position ; X = 128 ; Y = 128 ;       NEW ;  Wall_Arr[8][8] Position ; X = 675 ; Y = -495
Previous Wall_Arr[8][9] Position ; X = 128 ; Y = 144 ;       NEW ;  Wall_Arr[8][9] Position ; X = 675 ; Y = -405
Previous Wall_Arr[8][10] Position ; X = 128 ; Y = 160 ;       NEW ;  Wall_Arr[8][10] Position ; X = 675 ; Y = -315
Previous Wall_Arr[8][11] Position ; X = 128 ; Y = 176 ;       NEW ;  Wall_Arr[8][11] Position ; X = 675 ; Y = -225
Previous Wall_Arr[8][12] Position ; X = 128 ; Y = 192 ;       NEW ;  Wall_Arr[8][12] Position ; X = 675 ; Y = -135
Previous Wall_Arr[8][13] Position ; X = 128 ; Y = 208 ;       NEW ;  Wall_Arr[8][13] Position ; X = 675 ; Y = -45
Previous Wall_Arr[8][14] Position ; X = 128 ; Y = 224 ;       NEW ;  Wall_Arr[8][14] Position ; X = 675 ; Y = 45
Previous Wall_Arr[8][15] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[8][15] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[8][16] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[8][16] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[8][17] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[8][17] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[8][18] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[8][18] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[8][19] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[8][19] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[8][20] Position ; X = -200 ; Y = 0 ;       NEW ;  Wall_Arr[8][20] Position ; X = -10000 ; Y = 0
Previous Wall_Arr[8][21] Position ; X = 128 ; Y = 336 ;       NEW ;  Wall_Arr[8][21] Position ; X = 675 ; Y = 675
